H,K,L,Distance,2theta/TOF,Mult
0,0,1,3.6,24.730677182801735,6
-1,1,0,2.5455,35.258446718839636,24
-1,-1,1,2.0784,43.544726907930524,24
0,2,0,1.8,50.71803530802614,6
2,0,1,1.6099,57.22221294395101,24
1,-2,-1,1.4696,63.27969320967209,48
0,2,2,1.2727,74.56362154386927,12
-2,-2,1,1.2,79.94701455326418,24
3,1,0,1.1384,85.24984059841613,24
-1,-3,-1,1.0854,90.51271647987272,24
2,-2,2,1.0392,95.77676316065669,24
-2,3,0,0.9984,101.0956855885118,24
-2,1,-3,0.9621,106.5067101191919,48
0,4,0,0.9,117.8689608655922,6
