H,K,L,Distance,2theta/TOF,Mult
0,0,1,8.1616,10.840131791978688,6
-1,1,0,5.7711,15.353362197421747,24
0,2,0,4.0808,21.778819354980786,6
2,0,1,3.6499,24.387332351825656,24
1,-2,-1,3.3319,26.756132412882106,48
-2,-2,1,2.7205,32.92340383689644,24
3,1,0,2.5809,34.75931820432094,24
-2,3,0,2.2636,39.82352017804218,24
-2,1,-3,2.1812,41.39554477649099,48
0,-1,4,1.9794,45.84324427214082,24
-4,1,-1,1.9237,47.24996552505501,48
4,2,0,1.8249,49.97810242240825,24
2,-1,-4,1.781,51.29813943254835,48
-3,-2,3,1.74,52.598246331735425,48
0,-5,0,1.6323,56.36617898689076,6
3,1,-4,1.6006,57.58570892141161,48
2,4,-3,1.5155,61.15324805598477,48
2,-1,5,1.49,62.31548012093264,48
2,2,-5,1.4207,65.72624269451015,24
0,-5,3,1.3997,66.84041773697453,24
1,6,0,1.3417,70.14107686803828,24
3,5,2,1.3239,71.22633832640476,48
0,-5,4,1.2746,74.43363527028325,24
-5,1,-4,1.2593,75.4947958774751,48
0,6,3,1.2166,78.64246524952797,24
6,-3,-1,1.2033,79.68381763200225,48
