H,K,L,Distance,2theta/TOF,Mult
0,0,1,7.8843,11.222594458681312,6
-1,1,0,5.5751,15.896558733584607,24
0,2,0,3.9421,22.554964836881197,6
2,0,1,3.526,25.258177883233685,24
1,-2,-1,3.2187,27.71557995948054,48
-2,-2,1,2.6281,34.11573373417165,24
3,1,0,2.4932,36.02314112388909,24
-2,3,0,2.1867,41.28666734465295,24
-2,1,-3,2.1071,42.92199429199658,48
0,-1,4,1.9122,47.55158200158224,24
-4,1,-1,1.8583,49.020028941580115,48
4,2,0,1.763,51.86059024365608,24
2,-1,-4,1.7205,53.24100845214958,48
-3,-2,3,1.6809,54.59815600894926,48
0,-5,0,1.5768,58.53848754607599,6
3,1,-4,1.5462,59.81352996548836,48
2,4,-3,1.464,63.54997165981332,48
2,-1,5,1.4394,64.76708785510077,48
2,2,-5,1.3724,68.35122321413697,24
0,-5,3,1.3521,69.52345505765307,24
-4,4,2,1.314,71.84594722284983,48
1,6,0,1.2961,72.99672093738346,24
3,5,2,1.279,74.13452242298351,48
0,-5,4,1.2313,77.52630671518156,24
-5,1,-4,1.2165,78.6501812896681,48
0,6,3,1.1753,81.98111698685493,24
6,-3,-1,1.1624,83.09091370456942,48
0,7,0,1.1263,86.38808061450476,6
-7,0,1,1.115,87.48334711034767,24
-4,6,0,1.0933,89.68029767401453,24
