No.,H,K,L,Mult,2theta/,Ints/
1,-1,-1,1,24,19.590136906625744,83.30255879829632
2,0,2,2,12,32.26016013756611,72.97255750259306
3,-1,-3,-1,24,38.023710314853865,92.90966154876175
4,2,-2,2,24,39.785050010779486,29.07163300601564
5,0,4,0,6,46.26833097967078,1.9923573928475184
6,3,-1,3,24,50.69993813063449,6.241109352630689
7,-2,2,4,48,57.52675217677255,51.45864402141997
8,3,-3,-3,24,61.377496249706944,21.55574489313063
9,4,0,4,12,67.51210532506734,20.207659034091193
10,5,3,1,48,71.05320351263342,4.24165168350089
11,0,6,2,24,76.8089083373404,10.494011440925599
12,5,-3,3,48,80.19604833532446,19.318250974773328
13,-2,6,2,48,81.31790595757555,6.73396843940611
14,4,4,4,8,85.7723019459119,0.4337132377891321
15,-1,7,1,48,89.09077718622869,2.5419730874465687
16,-4,-2,-6,48,94.6228115118494,13.842506632893404
17,7,1,-3,48,97.9585985357038,13.269872546796938
18,-8,0,0,6,103.58409890916636,3.97996106587843
19,3,7,-3,48,107.03658494508304,2.284968360268498
20,-8,-2,-2,24,112.92349325185324,6.520869278478904
21,1,5,7,48,116.55908036272947,12.964724874598712
22,2,6,6,24,117.80560462305232,2.067110848665826
23,8,0,4,24,122.93380024687852,1.477546989885008
