No.,Code,H,K,L,Mult,Hw,2theta/TOF,L-factor,HWL,HWG,ETA
1,1,1,1,0,4,0.068,28.039,15.0074,0,0.068,0
2,2,1,1,0,4,0.068,28.11,14.9272,0,0.068,0
3,1,1,0,1,8,0.065,35.093,9.2848,0,0.065,0
4,2,1,0,1,8,0.065,35.183,9.2334,0,0.065,0
5,1,2,0,0,4,0.063,40.07,6.951,0,0.063,0
6,2,2,0,0,4,0.063,40.173,6.9116,0,0.063,0
7,1,1,1,1,8,0.063,40.576,6.7614,0,0.063,0
8,2,1,1,1,8,0.063,40.682,6.7229,0,0.063,0
9,1,2,1,0,8,0.062,45.043,5.3656,0,0.062,0
10,2,2,1,0,8,0.062,45.161,5.3345,0,0.062,0
11,1,2,1,1,16,0.059,54.304,3.5342,0,0.059,0
12,2,2,1,1,16,0.059,54.45,3.5131,0,0.059,0
13,1,2,2,0,4,0.057,57.959,3.0586,0,0.057,0
14,2,2,2,0,4,0.057,58.117,3.0403,0,0.057,0
15,1,0,0,2,2,0.057,59.494,2.8878,0,0.057,0
16,2,0,0,2,2,0.057,59.657,2.8706,0,0.057,0
17,1,3,1,0,8,0.055,65.597,2.3421,0,0.055,0
18,2,3,1,0,8,0.055,65.78,2.3285,0,0.055,0
19,1,2,2,1,8,0.055,65.956,2.3156,0,0.055,0
20,2,2,2,1,8,0.055,66.141,2.3022,0,0.055,0
21,1,1,1,2,8,0.055,67.029,2.2397,0,0.055,0
22,2,1,1,2,8,0.055,67.218,2.2268,0,0.055,0
23,1,3,0,1,8,0.054,69.589,2.0768,0,0.054,0
24,2,3,0,1,8,0.054,69.787,2.0652,0,0.054,0
25,1,3,1,1,16,0.054,73.138,1.8881,0,0.054,0
26,2,3,1,1,16,0.054,73.35,1.8781,0,0.054,0
27,1,2,0,2,8,0.053,74.163,1.8408,0,0.053,0
28,2,2,0,2,8,0.053,74.379,1.8312,0,0.053,0
29,1,3,2,0,8,0.053,76.284,1.7519,0,0.053,0
30,2,3,2,0,8,0.053,76.508,1.7432,0,0.053,0
31,1,2,1,2,16,0.053,77.631,1.7015,0,0.053,0
32,2,2,1,2,16,0.053,77.86,1.6933,0,0.053,0
