H,K,L,Distance,2theta/TOF,Mult
-1,1,0,3.1797,28.06243762,8
1,0,-1,2.555,35.12307415,8
0,2,0,2.2484,40.10425531,4
-1,-1,1,2.2214,40.61304353,8
1,-2,0,2.011,45.0828831,8
1,-2,-1,1.6879,54.35301628,16
2,2,0,1.5898,58.01398298,4
0,0,2,1.5524,59.55046671,2
3,1,0,1.422,65.65857878,8
-2,-2,1,1.4151,66.01943771,8
-1,1,-2,1.395,67.09537279,16
0,3,-1,1.3498,69.65902594,8
-1,-3,-1,1.2928,73.21330283,8
0,2,2,1.2775,74.2361949,8
-2,3,0,1.2471,76.36526453,8
1,2,2,1.2288,77.71363008,8
-3,-2,1,1.1573,83.53917784,16
0,4,0,1.1242,86.58921695,4
2,-2,2,1.1107,87.9086666,8
