H,K,L,Distance,2theta/TOF,Mult
0,0,2,3.514,25.345864429155807,2
0,-6,0,3.3273,26.793811509037297,2
0,2,2,3.3146,26.8983970054429,4
0,6,-1,3.0073,29.707134028397004,4
-1,5,-1,2.9992,29.789219520046082,4
-1,1,-2,2.9922,29.860528276822397,8
2,0,0,2.9778,30.008312481998452,2
0,-4,-2,2.8733,31.126827362444715,4
2,2,0,2.8535,31.34834512251039,1
1,3,-2,2.7549,32.50082533687553,8
-2,-2,1,2.6439,33.905671362284124,1
-2,4,0,2.5572,35.09187532847968,4
0,-8,0,2.4955,35.988803035413596,2
0,6,2,2.416,37.2157296823919,4
-1,7,1,2.4155,37.223716079614476,8
-1,5,2,2.4119,37.28132144208312,8
2,-4,-1,2.403,37.4245178588904,8
0,-8,1,2.3516,38.27397692868769,4
0,2,3,2.2807,39.512457004182,4
-2,0,-2,2.2718,39.67373299284569,4
2,6,0,2.2189,40.66082261250426,4
2,-2,2,2.2151,40.73366758355065,4
1,1,-3,2.1672,41.675360505502,1
0,4,-3,2.1207,42.63324054473191,4
2,-6,-1,2.1159,42.73469731211538,8
-1,7,-2,2.0756,43.60647661900727,8
-1,3,3,2.0717,43.69278560864846,4
2,4,2,2.0676,43.78390005007165,4
0,-8,-2,2.0346,44.531737765579365,4
0,-10,0,1.9964,45.43093544792282,2
1,-9,-1,1.9933,45.50555066189237,8
0,-10,-1,1.9204,47.33611123474527,4
0,6,3,1.9155,47.46462490579525,4
-1,5,3,1.9134,47.519923172923505,8
2,8,0,1.9126,47.54102421652925,4
-3,1,-1,1.9017,47.8304677962329,8
-2,6,2,1.8762,48.522059094621454,8
-2,8,-1,1.8455,49.38266240301448,8
-3,-3,1,1.8362,49.64964617336284,1
-2,2,-3,1.8106,50.40028081289618,8
1,-9,-2,1.7891,51.049153520105946,8
0,0,-4,1.757,52.05093777613852,2
0,10,2,1.7358,52.73531676481657,4
-1,-7,-3,1.732,52.85997623684531,8
0,-2,4,1.7304,52.912648477482996,4
2,4,-3,1.7274,53.01170456321196,8
-3,5,1,1.7233,53.1477085315159,8
3,1,-2,1.722,53.19098388905886,8
0,8,-3,1.708,53.6617308057755,4
-1,-11,1,1.6854,54.44030148658629,8
-2,-8,2,1.6799,54.63336493179962,8
-1,-1,-4,1.6792,54.65803945890863,1
-3,-3,2,1.6729,54.881164229605226,1
0,12,0,1.6636,55.21404690605676,2
2,-10,0,1.6582,55.40928202334458,4
0,-4,-4,1.6573,55.441961945621706,4
1,-3,-4,1.6336,56.31732322146332,8
0,12,1,1.6189,56.87500690813891,4
-2,10,1,1.6139,57.06735042679844,8
2,-6,-3,1.611,57.17953771088612,8
-3,7,1,1.5872,58.11809016808795,8
3,5,2,1.5862,58.15823630389424,8
1,-11,2,1.5564,59.3820423684479,8
1,-9,3,1.5548,59.44929115723447,8
0,6,-4,1.5537,59.49561814819011,4
1,-5,-4,1.5525,59.54624379396263,8
0,-10,-3,1.5195,60.97509704327844,4
2,0,-4,1.5132,61.256185903455965,4
3,-1,3,1.5102,61.39100666577877,4
0,12,-2,1.5036,61.689841906581606,4
2,-10,2,1.4996,61.872463171652356,4
-2,2,4,1.4961,62.033202078465266,8
-4,0,0,1.4889,62.36667382641276,2
-2,-8,3,1.4815,62.71340861357957,8
-3,-7,-2,1.4781,62.874099630826045,8
3,-3,-3,1.4767,62.94052179640537,4
4,2,0,1.4726,63.13590704768307,4
2,12,0,1.4523,64.12269300902504,4
1,7,4,1.4508,64.19691761150693,8
-2,4,4,1.4481,64.33098583151887,4
3,9,1,1.4475,64.36086011910864,8
-4,-2,-1,1.4413,64.67130796708008,8
0,8,4,1.4366,64.90879207095887,4
4,4,0,1.4267,65.41518951319898,1
2,12,1,1.4223,65.64298525622621,8
-3,5,3,1.416,65.9721277836818,8
-4,4,1,1.3982,66.92155944677945,8
-1,-11,-3,1.3948,67.10626841662858,8
0,2,5,1.3918,67.27016158560885,4
2,-6,4,1.3774,68.0690243476611,8
-4,0,-2,1.3709,68.43637679889318,4
1,1,5,1.3648,68.78504562712132,1
3,-9,-2,1.3634,68.86561124338417,8
-4,6,0,1.359,69.12015339246666,4
-4,-2,-2,1.3581,69.17247019101022,4
0,12,-3,1.3564,69.27152534555125,4
-2,10,-3,1.3534,69.4470809151053,8
0,-4,5,1.3529,69.4764340388874,4
2,12,-2,1.3422,70.11111079835739,8
-1,-9,-4,1.3418,70.1350814273564,8
1,3,5,1.34,70.2431700865414,8
3,7,-3,1.3376,70.38785304340215,8
-4,6,1,1.3343,70.58785405123226,8
-4,4,2,1.3219,71.3505704779938,8
0,10,4,1.3189,71.53780781826889,4
-3,-11,1,1.3158,71.73241681547947,8
3,1,-4,1.3128,71.92185255238458,8
0,-6,5,1.2948,73.0818730884453,4
1,5,-5,1.2941,73.12781457449383,8
2,8,4,1.2939,73.14095235470056,8
-3,-3,-4,1.2907,73.35186363978877,1
-4,8,0,1.2786,74.16160509430615,4
4,-6,2,1.2675,74.92194770596366,8
2,2,-5,1.2609,75.38226134939245,1
4,-8,-1,1.2579,75.59356890401708,8
3,-11,2,1.2516,76.04161192604847,8
3,-9,3,1.2508,76.09892775305075,4
-3,5,4,1.2496,76.18508130347702,8
4,2,-3,1.2467,76.39418163464372,8
-1,-11,4,1.2349,77.25832118029263,8
-2,12,3,1.2343,77.30284211646804,8
-1,-7,-5,1.2334,77.36973073973769,8
