H,K,L,Distance,2theta/TOF,Mult
0,0,2,3.514,25.34586443,2
0,-6,0,3.3273,26.79381151,2
0,2,2,3.3146,26.89839701,4
0,6,-1,3.0073,29.70713403,4
-1,5,-1,2.9992,29.78921952,4
-1,1,-2,2.9922,29.86052828,8
2,0,0,2.9778,30.00831248,2
0,-4,-2,2.8733,31.12682736,4
2,2,0,2.8535,31.34834512,1
1,3,-2,2.7549,32.50082534,8
-2,-2,1,2.6439,33.90567136,1
-2,4,0,2.5572,35.09187533,4
0,-8,0,2.4955,35.98880304,2
0,6,2,2.416,37.21572968,4
-1,7,1,2.4155,37.22371608,8
-1,5,2,2.4119,37.28132144,8
2,-4,-1,2.403,37.42451786,8
0,-8,1,2.3516,38.27397693,4
0,2,3,2.2807,39.512457,4
-2,0,-2,2.2718,39.67373299,4
2,6,0,2.2189,40.66082261,4
2,-2,2,2.2151,40.73366758,4
1,1,-3,2.1672,41.67536051,1
0,4,-3,2.1207,42.63324054,4
2,-6,-1,2.1159,42.73469731,8
-1,7,-2,2.0756,43.60647662,8
-1,3,3,2.0717,43.69278561,4
2,4,2,2.0676,43.78390005,4
0,-8,-2,2.0346,44.53173777,4
0,-10,0,1.9964,45.43093545,2
1,-9,-1,1.9933,45.50555066,8
0,-10,-1,1.9204,47.33611123,4
0,6,3,1.9155,47.46462491,4
-1,5,3,1.9134,47.51992317,8
2,8,0,1.9126,47.54102422,4
-3,1,-1,1.9017,47.8304678,8
-2,6,2,1.8762,48.52205909,8
-2,8,-1,1.8455,49.3826624,8
-3,-3,1,1.8362,49.64964617,1
-2,2,-3,1.8106,50.40028081,8
1,-9,-2,1.7891,51.04915352,8
0,0,-4,1.757,52.05093778,2
0,10,2,1.7358,52.73531676,4
-1,-7,-3,1.732,52.85997624,8
0,-2,4,1.7304,52.91264848,4
2,4,-3,1.7274,53.01170456,8
-3,5,1,1.7233,53.14770853,8
3,1,-2,1.722,53.19098389,8
0,8,-3,1.708,53.66173081,4
-1,-11,1,1.6854,54.44030149,8
-2,-8,2,1.6799,54.63336493,8
-1,-1,-4,1.6792,54.65803946,1
-3,-3,2,1.6729,54.88116423,1
0,12,0,1.6636,55.21404691,2
2,-10,0,1.6582,55.40928202,4
0,-4,-4,1.6573,55.44196195,4
1,-3,-4,1.6336,56.31732322,8
0,12,1,1.6189,56.87500691,4
-2,10,1,1.6139,57.06735043,8
2,-6,-3,1.611,57.17953771,8
-3,7,1,1.5872,58.11809017,8
3,5,2,1.5862,58.1582363,8
1,-11,2,1.5564,59.38204237,8
1,-9,3,1.5548,59.44929116,8
0,6,-4,1.5537,59.49561815,4
1,-5,-4,1.5525,59.54624379,8
0,-10,-3,1.5195,60.97509704,4
2,0,-4,1.5132,61.2561859,4
3,-1,3,1.5102,61.39100667,4
0,12,-2,1.5036,61.68984191,4
2,-10,2,1.4996,61.87246317,4
-2,2,4,1.4961,62.03320208,8
-4,0,0,1.4889,62.36667383,2
-2,-8,3,1.4815,62.71340861,8
-3,-7,-2,1.4781,62.87409963,8
3,-3,-3,1.4767,62.9405218,4
4,2,0,1.4726,63.13590705,4
2,12,0,1.4523,64.12269301,4
1,7,4,1.4508,64.19691761,8
-2,4,4,1.4481,64.33098583,4
3,9,1,1.4475,64.36086012,8
-4,-2,-1,1.4413,64.67130797,8
0,8,4,1.4366,64.90879207,4
4,4,0,1.4267,65.41518951,1
2,12,1,1.4223,65.64298526,8
-3,5,3,1.416,65.97212778,8
-4,4,1,1.3982,66.92155945,8
-1,-11,-3,1.3948,67.10626842,8
0,2,5,1.3918,67.27016159,4
2,-6,4,1.3774,68.06902435,8
-4,0,-2,1.3709,68.4363768,4
1,1,5,1.3648,68.78504563,1
3,-9,-2,1.3634,68.86561124,8
-4,6,0,1.359,69.12015339,4
-4,-2,-2,1.3581,69.17247019,4
0,12,-3,1.3564,69.27152535,4
-2,10,-3,1.3534,69.44708092,8
0,-4,5,1.3529,69.47643404,4
2,12,-2,1.3422,70.1111108,8
-1,-9,-4,1.3418,70.13508143,8
1,3,5,1.34,70.24317009,8
3,7,-3,1.3376,70.38785304,8
